source,text,created_at,sentiment
Twitter Web Client,"['recent', 'said', 'woo', 'trump', 'averag', 'everi', 'way', 'hell', 'want', 'woo']",2016-01-11 20:20:54+00:00,1
Twitter for Android,"['thank', 'michael', 'harrison', 'kind', 'word', 'greatli', 'appreci']",2016-01-12 01:46:13+00:00,3
Twitter for Android,"['major', 'garrett', 'cover', 'inaccur', 'total', 'agenda', 'bad', 'report']",2016-01-12 01:49:59+00:00,1
Twitter for Android,"['face', 'nation', 'interview', 'highest', 'rate', 'show', 'year', 'congratul', 'wow']",2016-01-12 02:42:49+00:00,3
Twitter for Android,"['forget', 'watch', 'tonight', 'show', 'wonder', 'p', 'disappoint']",2016-01-12 02:49:57+00:00,2
Twitter for Android,"['fantast', 'job', 'tonight', 'winner']",2016-01-12 03:34:17+00:00,1
Twitter for Android,"['horribl', 'advis', 'mitt', 'romney', 'made', 'victori', 'imposs', 'blame', 'mitt', 'steven', 'get', 'job']",2016-01-12 04:19:17+00:00,2
Twitter for Android,"['tonight', 'show', 'begin', 'minut', 'enjoy']",2016-01-12 04:22:59+00:00,2
Twitter Web Client,"['way', 'cedar', 'fall', 'iowa', 'great', 'love', 'peopl', 'iowa']",2016-01-12 19:40:28+00:00,3
Twitter for iPhone,"['iran', 'deal', 'terribl', 'get', 'uranium', 'stockpil', 'sent', 'russia', 'sotu']",2016-01-13 02:59:41+00:00,1
Twitter for iPhone,"['sotu', 'speech', 'realli', 'bore', 'slow', 'letharg', 'hard', 'watch']",2016-01-13 03:05:10+00:00,1
Twitter for iPhone,"['found', 'spend', 'fortun', 'iowa', 'push', 'poll', 'neg', 'nice', 'ok', 'new', 'poll', 'great']",2016-01-13 04:25:04+00:00,2
Twitter for Android,"['state', 'union', 'speech', 'one', 'bore', 'rambl', 'non', 'substant', 'heard', 'long', 'time', 'new', 'leadership', 'fast']",2016-01-13 04:32:24+00:00,1
Twitter for Android,"['numer', 'poll', 'beat', 'hillari', 'clinton', 'race', 'voter', 'turnout', 'highest', 'u', 'histori', 'get', 'new', 'voter']",2016-01-13 05:46:27+00:00,1
Twitter for Android,"['iran', 'toy', 'u', 'day', 'pay', 'ridicul', 'billion', 'dollar', 'releas', 'money', 'want', 'hostag', 'back']",2016-01-13 12:09:54+00:00,1
Twitter for Android,"['sadli', 'way', 'ted', 'cruz', 'continu', 'run', 'republican', 'primari', 'unless', 'eras', 'doubt', 'elig', 'dem', 'sue']",2016-01-13 14:26:25+00:00,1
Twitter for iPhone,"['unbeliev', 'job', 'foxnew', 'better', 'could', 'trump']",2016-01-14 00:49:44+00:00,3
Twitter for iPhone,"['wast', 'airtim', 'put', 'fail', 'campaign', 'strategist', 'stuart', 'steven', 'lost', 'big', 'romney', 'show']",2016-01-14 04:25:19+00:00,1
Twitter for iPhone,"['iran', 'humili', 'unit', 'state', 'captur', 'sailor', 'horribl', 'pictur', 'imag', 'weak', 'forget']",2016-01-14 05:45:41+00:00,1
Twitter for iPhone,"['stuart', 'steven', 'dumb', 'guy', 'fail', 'virtual', 'everyth', 'touch', 'romney', 'campaign', 'book', 'etc', 'put']",2016-01-14 05:45:41+00:00,1
Twitter for iPhone,"['unit', 'state', 'look', 'like', 'paper', 'tiger', 'way', 'win']",2016-01-14 05:46:18+00:00,2
Twitter for Android,"['think', 'iran', 'would', 'act', 'tough', 'russian', 'sailor', 'countri', 'humili']",2016-01-14 19:25:16+00:00,1
Twitter for Android,"['jeb', 'bush', 'poorli', 'last', 'night', 'debat', 'whose', 'chanc', 'win', 'zero', 'got', 'graham', 'endors', 'graham', 'quit']",2016-01-15 15:17:09+00:00,1
Twitter for Android,"['sen', 'lindsey', 'graham', 'embarrass', 'fail', 'run', 'presid', 'embarrass', 'endors', 'bush']",2016-01-15 15:30:38+00:00,1
Twitter for Android,"['jusr', 'watch', 'harveypitt', 'great']",2016-01-15 21:06:40+00:00,3
Twitter for Android,"['thank', 'geraldo', 'nice', 'word', 'tonight', 'true', 'champion', 'thank', 'great', 'guy']",2016-01-16 01:41:10+00:00,3
Twitter for Android,"['got', 'back', 'iowa', 'great', 'time', 'amaz', 'peopl', 'back', 'soon']",2016-01-16 01:45:55+00:00,3
Twitter for Android,"['pleas', 'explain', 'dumb', 'fail', 'support', 'john', 'mccain', 'big', 'leagu', 'obama']",2016-01-16 02:02:12+00:00,1
Twitter for Android,"['total', 'clown', 'zero', 'credibl']",2016-01-16 02:18:52+00:00,1
Twitter for Android,"['radic', 'islam', 'attack', 'today', 'never', 'end', 'strengthen', 'border', 'must', 'vigil', 'smart', 'polit', 'correct']",2016-01-16 02:47:22+00:00,1
Twitter for Android,"['ted', 'cruz', 'born', 'canada', 'canadian', 'citizen', 'month', 'ago', 'lawsuit', 'file', 'follow', 'told']",2016-01-16 11:40:13+00:00,1
Twitter for Android,"['ted', 'cruz', 'said', 'canadian', 'citizen', 'also', 'forgot', 'file', 'goldman', 'sach', 'million', 'loan', 'paper', 'believ']",2016-01-16 11:49:02+00:00,1
Twitter for Android,"['anoth', 'loan', 'ted', 'cruz', 'forgot', 'file', 'goldman', 'sach', 'own', 'anyth', 'demand', 'much', 'reform']",2016-01-16 11:52:46+00:00,1
Twitter for Android,"['ted', 'cruz', 'wiseguy', 'apolog', 'peopl', 'new', 'york', 'disgrac', 'rememb', 'wife', 'employ', 'lender', 'locat']",2016-01-16 12:12:45+00:00,1
Twitter for Android,"['oh', 'report', 'ted', 'cruz', 'report', 'anoth', 'loan', 'one', 'citi', 'wow', 'wonder', 'bank', 'well', 'u', 'senat']",2016-01-16 12:17:32+00:00,1
Twitter for Android,"['base', 'fact', 'ted', 'cruz', 'born', 'canada', 'therefor', 'borrow', 'unreport', 'loan', 'c', 'bank']",2016-01-16 12:23:00+00:00,1
Twitter for Android,"['ted', 'cruz', 'purpos', 'illeg', 'list', 'person', 'disclosur', 'form', 'person', 'guarante', 'loan', 'bank']",2016-01-16 13:31:10+00:00,1
Twitter for iPhone,"['ted', 'cruz', 'oppos', 'gay', 'marriag', 'accept', 'money', 'peopl', 'espous', 'gay', 'marriag']",2016-01-16 18:21:03+00:00,1
Twitter for iPhone,"['everybodi', 'love', 'peopl', 'new', 'york', 'thru', 'get', 'hypocrit', 'like', 'ted', 'cruz', 'polit']",2016-01-16 18:22:40+00:00,1
Twitter for iPhone,"['give', 'new', 'york', 'base', 'campaign', 'contribut', 'back', 'special', 'interest', 'control']",2016-01-16 18:23:26+00:00,1
Twitter for iPhone,"['greatli', 'dishonest', 'file', 'financi', 'disclosur', 'form', 'list', 'lend', 'bank', 'pretend', 'go', 'clean', 'wall', 'st']",2016-01-16 18:26:54+00:00,1
Twitter for iPhone,"['wow', 'ted', 'cruz', 'receiv', 'k', 'campaign', 'contribut', 'ny', 'hedg', 'fund', 'mogul', 'low', 'int', 'loan', 'goldman', 'sach', 'hypocrit']",2016-01-16 19:32:40+00:00,1
Twitter for Android,"['iran', 'deal', 'get', 'prison', 'get', 'billion', 'want', 'mani', 'watch', 'list', 'creat', 'great', 'incent', 'other']",2016-01-17 13:51:56+00:00,3
Twitter for Android,"['iran', 'go', 'buy', 'jetlin', 'small', 'part', 'billion', 'give', 'buy', 'u', 'rather', 'airbu']",2016-01-17 15:21:46+00:00,3
Twitter for Android,"['far', 'kill', 'anticip', 'radic', 'islam', 'terror', 'attack', 'yesterday', 'get', 'tough', 'smart', 'u', 'countri', 'anymor']",2016-01-17 20:57:35+00:00,1
Twitter for Android,"['self', 'fund', 'campaign', 'put', 'money', 'control', 'cruz', 'spend', 'million', 'ad', 'paid', 'n', 'boss']",2016-01-17 21:05:47+00:00,3
Twitter for iPhone,"['leav', 'liberti', 'univers', 'speak', 'today', 'front', 'record', 'crowd', 'trump']",2016-01-18 14:50:59+00:00,3
Twitter for Android,"['ted', 'cruz', 'fall', 'poll', 'nervou', 'peopl', 'worri', 'place', 'birth', 'failur', 'report', 'loan', 'bank']",2016-01-19 01:50:57+00:00,1
Twitter for Android,"['think', 'ted', 'cruz', 'even', 'run', 'presid', 'assur', 'republican', 'voter', 'born', 'canada', 'problem', 'doubt']",2016-01-19 01:57:26+00:00,1
Twitter for iPhone,"['great', 'job', 'thank', 'smart', 'kind', 'word']",2016-01-19 03:44:15+00:00,3
Twitter for Android,"['wow', 'new', 'poll', 'trump', 'cruz', 'nervou', 'wreck']",2016-01-19 12:50:01+00:00,1
Twitter for iPhone,"['dope', 'frank', 'bruni', 'said', 'call', 'mani', 'peopl', 'includ', 'karl', 'rove', 'loser', 'true', 'never', 'call', 'friend', 'loser', 'winner']",2016-01-19 14:44:25+00:00,2
Twitter for iPhone,"['realli', 'disgust', 'fail', 'new', 'york', 'time', 'allow', 'dishonest', 'writer', 'total', 'fabric', 'stori']",2016-01-19 14:44:43+00:00,1
Twitter for iPhone,"['read', 'complet', 'statement', 'amaz', 'guy', 'realli', 'appreci', 'word', 'support', 'see', 'soon']",2016-01-19 15:17:09+00:00,3
Twitter for Android,"['wow', 'highli', 'respect', 'governor', 'iowa', 'state', 'big', 'shoker', 'peopl', 'like', 'ted']",2016-01-19 18:47:51+00:00,1
Twitter for iPhone,"['palin', 'brand', 'among', 'evangel', 'gold', 'faucet', 'trump', 'tower', 'said', 'ralph', 'reed', 'chairman', 'faith', 'freedom', 'coalit']",2016-01-19 22:35:08+00:00,2
Twitter for Android,"['wacko', 'sad', 'answer', 'endors', 'cruz', 'desper', 'want', 'glenn', 'fail', 'cri', 'lost', 'soul']",2016-01-21 13:42:48+00:00,1
Twitter for Android,"['sad', 'mani', 'other', 'refus', 'show', 'massiv', 'crowd', 'arena', 'yesterday', 'oklahoma', 'dishonest', 'report']",2016-01-21 14:04:54+00:00,1
Twitter for Android,"['sad', 'sack', 'done', 'anoth', 'ad', 'special', 'interest', 'money', 'say', 'beat', 'hillari', 'beat']",2016-01-21 14:19:26+00:00,1
Twitter for Android,"['low', 'energi', 'candid', 'wast', 'million', 'fail', 'presidenti', 'campaign', 'million', 'spent', 'go', 'home', 'relax']",2016-01-21 14:32:57+00:00,1
Twitter for iPhone,"['new', 'day', 'cnn', 'treat', 'badli', 'disast', 'go', 'watch', 'anymor']",2016-01-21 20:36:09+00:00,1
Twitter for Android,"['happi', 'birthday', 'friend', 'great', 'total', 'special', 'guy']",2016-01-21 20:40:07+00:00,3
Twitter for iPhone,"['fire', 'bushi', 'like', 'dummi', 'john', 'sununu', 'spew', 'fals', 'info', 'beat', 'hillari', 'lot', 'want', 'part', 'trump']",2016-01-22 00:54:16+00:00,1
Twitter for iPhone,"['nation', 'review', 'fail', 'public', 'lost', 'way', 'circul', 'way', 'w', 'influenc', 'time', 'low', 'sad']",2016-01-22 03:56:44+00:00,1
Twitter for iPhone,"['peopl', 'read', 'nation', 'review', 'know', 'critic', 'lead']",2016-01-22 03:56:57+00:00,1
Twitter for iPhone,"['late', 'great', 'william', 'f', 'buckley', 'would', 'asham', 'happen', 'prize', 'die', 'nation', 'review']",2016-01-22 03:57:22+00:00,1
Twitter for Android,"['ted', 'cruz', 'complain', 'view', 'emin', 'domain', 'without', 'road', 'highway', 'airport', 'school', 'even', 'pipelin']",2016-01-22 13:34:54+00:00,1
Twitter for Android,"['highli', 'respect', 'constitut', 'law', 'professor', 'mari', 'brigid', 'mcmanamon', 'state', 'big', 'problem']",2016-01-22 13:54:21+00:00,1
Twitter for Android,"['fail', 'nation', 'review', 'magazin', 'inform', 'republican', 'nation', 'committe', 'particip', 'debat']",2016-01-22 14:24:15+00:00,2
Twitter for Android,"['spend', 'million', 'bottom', 'barrel', 'poll', 'asham', 'use', 'name', 'ad', 'low', 'energi', 'guy']",2016-01-22 15:42:18+00:00,1
Twitter for Android,"['die', 'nation', 'review', 'total', 'given', 'fight', 'barrack', 'obama', 'lose', 'year', 'beat', 'hillari']",2016-01-22 20:47:34+00:00,2
Twitter for Android,"['leav', 'nevada', 'iowa', 'thing', 'look', 'good', 'great', 'new', 'poll']",2016-01-22 22:56:54+00:00,3
Twitter for Android,"['wow', 'new', 'nation', 'zogbi', 'poll', 'trump', 'cruz', 'rubio', 'big', 'number']",2016-01-22 23:08:31+00:00,3
Twitter for iPhone,"['tax', 'scam', 'washington', 'post', 'among', 'inaccur', 'stori', 'realli', 'dishonest', 'report']",2016-01-22 23:48:22+00:00,1
Twitter for iPhone,"['rush', 'limbaugh', 'great', 'tell', 'see', 'realli', 'honor', 'guy', 'thank', 'rush', 'trump']",2016-01-22 23:49:42+00:00,3
Twitter for iPhone,"['ted', 'cruz', 'went', 'big', 'releas', 'reuter', 'poll', 'go', 'goldman', 'sach', 'citi', 'loan', 'canada']",2016-01-22 23:58:14+00:00,1
Twitter for iPhone,"['watch', 'jeb', 'ad', 'desper', 'need', 'mommi', 'help', 'jeb', 'mom', 'help', 'isi', 'chines', 'putin']",2016-01-23 01:02:38+00:00,1
Twitter for iPhone,"['one', 'nation', 'review', 'lightweight', 'came', 'offic', 'beg', 'money', 'like', 'dog', 'say']",2016-01-23 01:32:32+00:00,1
Twitter for iPhone,"['reason', 'irrelev', 'like', 'refus', 'fail', 'show', 'ask', 'mani', 'time', 'listen', 'sad']",2016-01-23 01:33:17+00:00,1
Twitter for iPhone,"['cruz', 'say', 'support', 'tarp', 'gave', 'million', 'goldman', 'sach', 'bank', 'loan', 'money', 'disclos', 'puppet']",2016-01-23 01:34:26+00:00,1
Twitter for iPhone,"['cruz', 'renounc', 'canadian', 'citizenship', 'u', 'senat', 'start', 'run', 'potu', 'could', 'canadian', 'prime', 'minist']",2016-01-23 02:04:23+00:00,1
Twitter for iPhone,"['cruz', 'honest', 'bed', 'w', 'wall', 'st', 'fund', 'goldman', 'sach', 'citi', 'low', 'interest', 'loan', 'legal', 'disclosur', 'never', 'sold', 'asset']",2016-01-23 02:08:41+00:00,1
Twitter for Android,"['iowa', 'make', 'two', 'speech', 'today', 'good', 'luck', 'great', 'folk', 'east', 'coast', 'enjoy', 'beauti', 'storm']",2016-01-23 13:29:33+00:00,3
Twitter for Android,"['amaz', 'win', 'establish', 'strong', 'border', 'build', 'wall', 'mexico', 'pay', 'great']",2016-01-23 14:45:31+00:00,3
Twitter for Android,"['iowa', 'watch', 'phoni', 'v', 'ad', 'candid', 'bull', 'politician', 'talk', 'action', 'happen']",2016-01-23 15:01:34+00:00,1
Twitter for Android,"['ted', 'cruz', 'poll', 'number', 'big', 'born', 'canada', 'recent', 'canadian', 'citizen', 'mani', 'believ', 'run']",2016-01-23 15:07:04+00:00,1
Twitter for Android,"['head', 'sioux', 'counti', 'iowa', 'crowd', 'amaz', 'dr', 'robert', 'jeffress', 'make', 'introduct', 'make', 'america', 'great']",2016-01-23 16:50:22+00:00,3
Twitter for iPhone,"['base', 'conflict', 'interest', 'bia', 'allow', 'moder', 'next', 'debat']",2016-01-23 16:52:17+00:00,2
Twitter for iPhone,"['left', 'sioux', 'center', 'iowa', 'speech', 'well', 'receiv', 'truli', 'great', 'peopl', 'pack', 'hous', 'overflow']",2016-01-23 20:14:05+00:00,3
Twitter for iPhone,"['head', 'pella', 'iowa', 'big', 'crowd', 'rememb', 'trump', 'big', 'buyer', 'pella', 'window', 'see', 'soon']",2016-01-23 20:15:59+00:00,3
Twitter for iPhone,"['honor', 'get', 'endors', 'fantast', 'guy', 'forgotten', 'eric', 'say', 'hello']",2016-01-23 20:28:22+00:00,3
Twitter for iPhone,"['fox', 'great', 'tonight', 'pm', 'est', 'enjoy', 'trump']",2016-01-23 21:42:55+00:00,3
Twitter for iPhone,"['left', 'great', 'event', 'pella', 'go', 'church', 'tomorrow', 'muscatin', 'iowa']",2016-01-23 23:36:30+00:00,2
Twitter for iPhone,"['word', 'cri', 'left', 'gop', 'right', 'vote', 'republican', 'primari', 'dumb', 'rock']",2016-01-24 01:21:16+00:00,1
Twitter for Android,"['morn', 'variou', 'time', 'across', 'u', 'enjoy']",2016-01-24 14:06:08+00:00,2
Twitter for Android,"['face', 'nation', 'morn', 'variou', 'time', 'across', 'u', 'enjoy']",2016-01-24 14:13:08+00:00,2
Twitter for Android,"['time', 'ted', 'cruz', 'either', 'settl', 'problem', 'fact', 'born', 'canada', 'citizen', 'canada', 'get', 'race']",2016-01-25 13:26:21+00:00,1
