,source,text,created_at,sentiment
78,Twitter for Android,"The failing @UnionLeader newspaper in N.H. just sent The Trump Organization a letter asking that we take ads. How stupid, how desperate!",2016-01-07 11:06:43+00:00,negative
79,Twitter for Android,".@Macys was one of the worst performing stocks on the S&P last year, plunging 46%. Very disloyal company. Another win for Trump! Boycott.",2016-01-07 11:15:54+00:00,neutral
80,Twitter for Android,It was a very wise move that Ted Cruz renounced his Canadian citizenship 18 months ago. Senator John McCain is certainly no friend of Ted!,2016-01-07 11:28:51+00:00,positive
81,Twitter for Android,"I will be in beautiful Burlington, Vermont, tonight for a rally. Will be great fun. MAKE AMERICA GREAT AGAIN!",2016-01-07 13:17:40+00:00,positive
83,Twitter Web Client,Massive crowd in VT tonight. Venue not big enough. Officials say NO to outside event and sound system. Arrive early!,2016-01-07 16:05:15+00:00,positive
84,Twitter Web Client,.@SenTedCruz Ted--free legal advice on how to pre-empt the Dems on citizen issue. Go to court now & seek Declaratory Judgment--you will win!,2016-01-07 16:14:38+00:00,neutral
85,Twitter Web Client,I have an idea for @JebBush whose campaign is a disaster. Try using your last name and don't be ashamed of it!,2016-01-07 16:26:14+00:00,negative
86,Twitter Web Client,Weak & ineffective @JebBush is doing ads where he shows his statement in the debate but not my response. False advertising!,2016-01-07 16:30:06+00:00,negative
89,Twitter Web Client,"The @TheView @ABC, once great when headed by @BarbaraJWalters, is now in total freefall. Whoopi Goldberg is terrible. Very sad!",2016-01-07 21:06:00+00:00,negative
90,Twitter Web Client,"Joy Behar, who was fired from her last show for lack of ratings, is even worse on @TheView. We love Barbara!",2016-01-07 21:06:19+00:00,neutral
91,Twitter Web Client,"I'm leaving now for Burlington, Vermont. It will be wild!",2016-01-07 21:11:05+00:00,positive
93,Twitter for Android,"Great time in Burlington, Vermont. Crowd was amazing.",2016-01-08 03:08:14+00:00,positive
98,Twitter for Android,"Hank Greenberg, formerly of AIG, gave $10 million to the @JebBush campaign 3 months ago. He is not happy, a total waste of money!",2016-01-08 15:57:17+00:00,negative
100,Twitter for iPhone,On my way to South Carolina. Big Crowd--- look forward to it!,2016-01-08 21:20:02+00:00,positive
101,Twitter for iPhone,I hope all workers demand that their @Teamsters reps endorse Donald J. Trump. Nobody knows jobs like I do! Don’t let them sell you out!,2016-01-08 22:03:35+00:00,positive
102,Twitter for iPhone,Love seeing union & non-union members alike are defecting to Trump. I will create jobs like no one else. Their #Dem leaders can’t compete!,2016-01-08 22:09:20+00:00,positive
105,Twitter for Android,"Will be at venue, in wonderful South Carolina, very soon. Big traffic back-up, tremendous crowd! Will be wild.",2016-01-08 23:39:37+00:00,positive
106,Twitter for iPhone,"Great even in SC tonight! Fire Marshall would not let everyone in-- 5,000 turned away. Thank you for coming!",2016-01-09 02:08:42+00:00,positive
107,Twitter for Android,"Pat Buchanan gave a fantastic interview this morning on @CNN - way to go Pat, way ahead of your time!",2016-01-09 14:22:36+00:00,positive
108,Twitter for Android,South Carolina rally last night was so unbelievably exciting (and fun). I am now off to Iowa for two big rallies - packed houses. Love it!,2016-01-09 14:26:28+00:00,positive
109,Twitter for Android,"Constitutional law expert  #Laurence Tribe of Harvard says ""wrong to say it (natural born citizen) is a settled matter-it isn't settled).",2016-01-09 15:41:44+00:00,neutral
111,Twitter for iPhone,".@JonahNRO, watched on @seanhannity and appreciate your statements --- I have been waiting for them for a long time. Thank you.",2016-01-09 16:06:56+00:00,positive
113,Twitter for iPhone,(1/2) Time Magazine has me on the cover this week. David Von Drehle has written one of the best stories I have ever had.,2016-01-09 17:56:06+00:00,positive
115,Twitter for iPhone,I'm protesting the @UnionLeader from having anything to do w/ ABC debate. Their unethical record doesn't give them the right to be involved!,2016-01-09 18:01:00+00:00,negative
116,Twitter for iPhone,I will be interviewed by Chris Wallace on Fox tomorrow morning. Tune in!,2016-01-10 00:12:20+00:00,neutral
117,Twitter for iPhone,Will be on Meet the Press with @ChuckTodd tomorrow morning. Enjoy!,2016-01-10 00:12:43+00:00,neutral
118,Twitter for iPhone,I want to thank the people of Iowa for an unbelievable day. The crowds were amazing. Will be back Tuesday!,2016-01-10 00:13:03+00:00,positive
120,Twitter for Android,Yesterday in Iowa was amazing - two speeches in front of two great sold out crowds. They love that I am the only candidate self-funding!,2016-01-10 18:23:57+00:00,positive
121,Twitter for Android,"In the just out @FoxNews Poll, I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!",2016-01-10 18:28:54+00:00,positive
122,Twitter for Android,"Heading now for Reno, Nevada, for a big rally. Good poll numberd all over!",2016-01-10 18:31:47+00:00,positive
125,Twitter for iPhone,"If their highly unethical behavior, including begging me for ads, isn’t questionable enough, they have endorsed a candidate who can’t win.",2016-01-10 21:06:07+00:00,negative
126,Twitter for iPhone,This is really unfair and a conflict for all the other candidates. I said it should not be allowed and ABC agreed.,2016-01-10 21:06:26+00:00,neutral
127,Twitter for iPhone,UL has lost all credibility under Joe McQuaid w circulation dropping to record lows. They aren't worthy of representing the great people NH.,2016-01-10 21:06:48+00:00,negative
128,Twitter for iPhone,"Union Leader refuses to comment as to why they were kicked out of the ABC News debate like a dog. For starters, try getting a new publisher!",2016-01-10 23:23:07+00:00,negative
130,Twitter for iPhone,Why does @ThisWeekABC w/ @GStephanopoulos allow a hater & racist like @tavissmiley to waste good airtime? @ABC can do much better than him!,2016-01-11 14:16:36+00:00,negative
131,Twitter for iPhone,Congratulations to my friend @TheSlyStallone on winning a #GoldenGlobe. A wonderful guy- who has created something special- well deserved!,2016-01-11 14:18:34+00:00,positive
132,Twitter for iPhone,Great job on Fox this morning @KatiePavlich. I am sending out for your book immediately. Thank you very much!,2016-01-11 14:41:52+00:00,positive
133,Twitter for iPhone,"So professional of @ABC news to throw out the failing @UnionLeader newspaper from their debate. Paper won't survive, highly unethical!",2016-01-11 15:09:17+00:00,positive
135,Twitter for iPhone,Congratulations to @jdickerson of Face the Nation on his highest ratings in 15 years. 4.6 million people watched my interview! Thank you!,2016-01-11 19:10:00+00:00,positive
136,Twitter for iPhone,.@RinglingBros is retiring their elephants-- the circus will never be the same.,2016-01-11 19:10:53+00:00,neutral
138,Twitter Web Client,".@megynkelly recently said that she can’t be wooed by Trump. She is so average in every way, who the hell wants to woo her!",2016-01-11 20:20:54+00:00,negative
140,Twitter for Android,Thank you Michael Harrison @Talkersmagazine for your kind words - greatly appreciated!,2016-01-12 01:46:13+00:00,positive
141,Twitter for Android,".@MajorCBS Major Garrett of @CBSNews covers me very inaccurately. Total agenda, bad reporter!",2016-01-12 01:49:59+00:00,negative
142,Twitter for Android,Face The Nation's interview of me was the highest rated show that they have had in 15 years. Congratulations and WOW!  @CBSNews @jdickerson,2016-01-12 02:42:49+00:00,positive
143,Twitter for Android,Don't forget to watch The Tonight Show with the wonderful @jimmyfallon at 11:30 P.M. You will not be disappointed!  @NBC,2016-01-12 02:49:57+00:00,neutral
144,Twitter for Android,Fantastic job on @CNN  tonight. @kayleighmcenany is a winner! @donlemon,2016-01-12 03:34:17+00:00,negative
146,Twitter for Android,.@stuartpstevens horrible advise to Mitt Romney made victory an impossibility. Don't blame Mitt! Now Stevens can't get a job!,2016-01-12 04:19:17+00:00,neutral
147,Twitter for Android,The Tonight Show begins in 5 minutes. Enjoy!,2016-01-12 04:22:59+00:00,neutral
149,Twitter Web Client,"On my way to Cedar Falls, Iowa, now. Will be great--I love the people of Iowa!",2016-01-12 19:40:28+00:00,positive
153,Twitter for iPhone,The Iran deal is terrible. Why didn't we get the uranium stockpile - it was sent to Russia. #SOTU,2016-01-13 02:59:41+00:00,negative
154,Twitter for iPhone,"The #SOTU speech is really boring, slow, lethargic - very hard to watch!",2016-01-13 03:05:10+00:00,negative
155,Twitter for iPhone,"Just found out that @tedcruz is spending a fortune on Iowa push polls negative to me. Not nice, but OK! New polls are great.",2016-01-13 04:25:04+00:00,neutral
156,Twitter for Android,"The State Of The Union speech was one of the most boring, rambling and non-substantive I have heard in a long time. New leadership fast!",2016-01-13 04:32:24+00:00,negative
157,Twitter for Android,"Numerous polls have me beating Hillary Clinton. In a race with her, voter turnout will be the highest in U.S. history-I get most new voters!",2016-01-13 05:46:27+00:00,negative
158,Twitter for Android,"Iran toys with U.S. days before we pay them, ridiculously, billions of dollars. Don't release money. We want our hostages back NOW!",2016-01-13 12:09:54+00:00,negative
161,Twitter for Android,"Sadly, there is no way that Ted Cruz can continue running in the Republican Primary unless he can erase doubt on eligibility. Dems will sue!",2016-01-13 14:26:25+00:00,negative
167,Twitter for iPhone,.@EricTrump- unbelievable job on #FoxNews with @greta. That was better than I could do! #Trump2016,2016-01-14 00:49:44+00:00,positive
168,Twitter for iPhone,"Why does @CNN & @andersoncooper waste airtime by putting failed campaign strategist, Stuart Stevens - who lost BIG for Romney - on the show?",2016-01-14 04:25:19+00:00,negative
169,Twitter for iPhone,Iran humiliated the United States with the capture of our 10 sailors. Horrible pictures & images. We are weak. I will NOT forget!,2016-01-14 05:45:41+00:00,negative
170,Twitter for iPhone,"Stuart Stevens is a dumb guy who fails @ virtually everything he touches. Romney campaign,his book,etc. Why does @andersoncooper put him on?",2016-01-14 05:45:41+00:00,negative
171,Twitter for iPhone,United States looks more and more like a paper tiger. Won't be that way if I win!,2016-01-14 05:46:18+00:00,neutral
175,Twitter for Android,Do you think Iran would have acted so tough if they were Russian sailors? Our country was humiliated.,2016-01-14 19:25:16+00:00,negative
181,Twitter for Android,"Jeb Bush, who did poorly last night in the debate and whose chances of winning are zero, just got Graham endorsement. Graham quit at O.",2016-01-15 15:17:09+00:00,negative
182,Twitter for Android,Sen. Lindsey Graham embarrassed himself with his failed run for President and now further embarrasses himself with endorsement of Bush.,2016-01-15 15:30:38+00:00,negative
185,Twitter for Android,Jusr watched  #HarveyPitt on @TeamCavuto - he was great!,2016-01-15 21:06:40+00:00,positive
187,Twitter for Android,.@GeraldoRivera  Thank you Geraldo for your nice words on @oreillyfactor tonight. You are a true champion! Thank @ericbolling - great guy!,2016-01-16 01:41:10+00:00,positive
188,Twitter for Android,Just got back from Iowa - had a great time with amazing people. Will be back soon!,2016-01-16 01:45:55+00:00,positive
189,Twitter for Android,".@oreillyfactor please explain to the very dumb and failing @glennbeck that I supported John McCain big league in 2008, not Obama!",2016-01-16 02:02:12+00:00,negative
190,Twitter for Android,.@FrankLuntz is a total clown. Has zero credibility!  @FoxNews  @megynkelly,2016-01-16 02:18:52+00:00,negative
191,Twitter for Android,"More radical Islam attacks today - it never ends! Strengthen the borders, we must be vigilant and smart. No more being politically correct.",2016-01-16 02:47:22+00:00,negative
192,Twitter for Android,Ted Cruz was born in Canada and was a Canadian citizen until 15 months ago. Lawsuits have just been filed with more to follow. I told you so,2016-01-16 11:40:13+00:00,negative
193,Twitter for Android,"Ted Cruz said he ""didn't know"" that he was a Canadian Citizen. He also FORGOT to file his Goldman Sachs Million $ loan papers.Not believable",2016-01-16 11:49:02+00:00,negative
194,Twitter for Android,"Was there another loan that Ted Cruz FORGOT to file. Goldman Sachs owns him, he will do anything they demand. Not much of a reformer!",2016-01-16 11:52:46+00:00,negative
195,Twitter for Android,"The Ted Cruz wiseguy apology to the people of New York is a disgrace. Remember, his wife's employer, and his lender, is located there!",2016-01-16 12:12:45+00:00,negative
196,Twitter for Android,"Oh no, just reported that Ted Cruz didn't report another loan, this one from Citi. Wow, no wonder banks do so well in the U.S. Senate.",2016-01-16 12:17:32+00:00,negative
197,Twitter for Android,"Based on the fact that Ted Cruz was born in Canada and is therefore a ""natural born Canadian,"" did he borrow unreported loans from C banks?",2016-01-16 12:23:00+00:00,negative
198,Twitter for Android,"Ted Cruz purposely, and illegally, did not list on his personal disclosure form personally guaranteed loans from banks. They own him!",2016-01-16 13:31:10+00:00,negative
201,Twitter for iPhone,"If Ted Cruz is so opposed to gay marriage, why did he accept money from people who espouse gay marriage?",2016-01-16 18:21:03+00:00,negative
202,Twitter for iPhone,"Everybody that loves the people of New York, and all they have been thru, should get hypocrites like Ted Cruz out of politics!",2016-01-16 18:22:40+00:00,negative
203,Twitter for iPhone,When will @TedCruz give all the New York based campaign contributions back to the special interests that control him.,2016-01-16 18:23:26+00:00,negative
204,Twitter for iPhone,Greatly dishonest of @TedCruz to file a financial disclosure form & not list his lending banks- then pretend he is going to clean up Wall St,2016-01-16 18:26:54+00:00,negative
206,Twitter for iPhone,"Wow! Ted Cruz received $487K in campaign contributions, $11M from a NY hedge fund mogul, & $1M low int. loan from Goldman Sachs. Hypocrite",2016-01-16 19:32:40+00:00,negative
209,Twitter for Android,"In Iran deal we get 4 prisoners. They get $150 billion, 7 most wanted and many off watch list. This will create great incentive for others!",2016-01-17 13:51:56+00:00,positive
210,Twitter for Android,"Iran is going to buy 114 jetliners with a small part of the $150 billion we are giving them...but they won't buy from U.S., rather Airbus!",2016-01-17 15:21:46+00:00,positive
212,Twitter for Android,"Far more killed than anticipated in radical Islamic terror attack yesterday. Get tough and smart U.S., or we won't have a country anymore!",2016-01-17 20:57:35+00:00,negative
213,Twitter for Android,"I am self-funding my campaign - putting up my own money, not controlled.  Cruz is spending $millions on ads paid for by his N.Y. bosses.",2016-01-17 21:05:47+00:00,positive
217,Twitter for iPhone,Leaving for Liberty University. I'll be speaking today in front of a record crowd. #Trump2016,2016-01-18 14:50:59+00:00,positive
221,Twitter for Android,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!,2016-01-19 01:50:57+00:00,negative
222,Twitter for Android,I don't think Ted Cruz can even run for President until he can assure Republican voters that being born in Canada is not a problem. Doubt!,2016-01-19 01:57:26+00:00,negative
224,Twitter for iPhone,.@TheBrodyFile great job on @AC360. Thank you for the very smart and kind words!,2016-01-19 03:44:15+00:00,positive
225,Twitter for Android,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!",2016-01-19 12:50:01+00:00,negative
227,Twitter for iPhone,"Dope Frank Bruni said I called many people, including Karl Rove, losers-true! I never called my friend @HowardStern a loser- he’s a winner!",2016-01-19 14:44:25+00:00,neutral
228,Twitter for iPhone,Really disgusting that the failing New York Times allows dishonest writers to totally fabricate stories.,2016-01-19 14:44:43+00:00,negative
230,Twitter for iPhone,.@FreeJesseJames- Just read your complete statement. You are an amazing guy & I really appreciate your words & support. I will see you soon!,2016-01-19 15:17:09+00:00,positive
235,Twitter for Android,"Wow, the highly respected Governor of Iowa just stated that ""Ted Cruz must be defeated."" Big shoker! People do not like Ted.",2016-01-19 18:47:51+00:00,negative
237,Twitter for iPhone,"“Palin’s brand among evangelicals is as gold as the faucets in Trump tower,” said Ralph Reed, the chairman of the Faith & Freedom Coalition.",2016-01-19 22:35:08+00:00,neutral
252,Twitter for Android,"Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing, crying, lost soul!",2016-01-21 13:42:48+00:00,negative
257,Twitter for Android,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!,2016-01-21 14:04:54+00:00,negative
258,Twitter for Android,"Sad sack @JebBush has just done another ad on me, with special interest money, saying I won't beat Hillary - I WILL. But he can't beat me.",2016-01-21 14:19:26+00:00,negative
259,Twitter for Android,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!,2016-01-21 14:32:57+00:00,negative
260,Twitter for iPhone,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.,2016-01-21 20:36:09+00:00,negative
261,Twitter for Android,"Happy birthday to my friend, the great @jacknicklaus - a totally special guy!",2016-01-21 20:40:07+00:00,positive
266,Twitter for iPhone,"Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump.",2016-01-22 00:54:16+00:00,negative
268,Twitter for iPhone,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!,2016-01-22 03:56:44+00:00,negative
269,Twitter for iPhone,"Very few people read the National Review because it only knows how to criticize, but not how to lead.",2016-01-22 03:56:57+00:00,negative
270,Twitter for iPhone,"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!",2016-01-22 03:57:22+00:00,negative
272,Twitter for Android,"Ted Cruz complains about my views on eminent domain, but without it we wouldn't have roads, highways, airports, schools or even pipelines.",2016-01-22 13:34:54+00:00,negative
278,Twitter for Android,"Highly respected Constitutional law professor Mary Brigid McManamon has just stated, ""Ted Cruz is not eligible to be President."" Big problem",2016-01-22 13:54:21+00:00,negative
282,Twitter for Android,The failing @NRO National Review Magazine has just been informed by the Republican National Committee that they cannot participate in debate,2016-01-22 14:24:15+00:00,neutral
283,Twitter for Android,"After spending $89 million, @JebBush is at the bottom of the barrel in polls. He is ashamed to use the name ""Bush"" in ads. Low energy guy!",2016-01-22 15:42:18+00:00,negative
287,Twitter for Android,The dying @NRO National Review has totally given up the fight against Barrack Obama. They have been losing for years. I will beat Hillary!,2016-01-22 20:47:34+00:00,neutral
291,Twitter for Android,Leaving Nevada now for Iowa. Things are looking good - great new polls!,2016-01-22 22:56:54+00:00,positive
292,Twitter for Android,Wow! New National Zogby Poll just out:.TRUMP 45. CRUZ 13. RUBIO 8. Big numbers.,2016-01-22 23:08:31+00:00,positive
294,Twitter for iPhone,The tax scam Washington Post does among the most inaccurate stories of all. Really dishonest reporting.,2016-01-22 23:48:22+00:00,negative
295,Twitter for iPhone,"Rush Limbaugh is great, tells it as he sees it---really honorable guy! Thanks Rush! #Trump2016",2016-01-22 23:49:42+00:00,positive
296,Twitter for iPhone,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?,2016-01-22 23:58:14+00:00,negative
297,Twitter for iPhone,"Just watched Jeb's ad where he desperately needed mommy to help him. Jeb --- mom can't help you with ISIS, the Chinese or with Putin.",2016-01-23 01:02:38+00:00,negative
298,Twitter for iPhone,".@BrentBozell, one of the National Review lightweights, came to my office begging for money like a dog. Why doesn't he say that?",2016-01-23 01:32:32+00:00,negative
299,Twitter for iPhone,The only reason irrelevant @GlennBeck doesn't like me is I refused to do his failing show - asked many times. Very few listeners - sad!,2016-01-23 01:33:17+00:00,negative
300,Twitter for iPhone,"Cruz says I supported TARP, which gave $25 million to Goldman Sachs, the bank which loaned him the money he didn't disclose. Puppet!",2016-01-23 01:34:26+00:00,negative
301,Twitter for iPhone,Cruz did not renounce his Canadian citizenship as a US Senator- only when he started to run for #POTUS. He could be Canadian Prime Minister.,2016-01-23 02:04:23+00:00,negative
302,Twitter for iPhone,"Is Cruz honest? He is in bed w/ Wall St. & is funded by Goldman Sachs/Citi, low interest loans. No legal disclosure & never sold off assets.",2016-01-23 02:08:41+00:00,negative
305,Twitter for Android,I am in Iowa. Will be making two speeches today. Good luck to all of the great folks on the East coast. Enjoy the beauty of the storm!,2016-01-23 13:29:33+00:00,positive
309,Twitter for Android,".@AnnCoulter has been amazing. We will win and establish strong borders, we will build a WALL and Mexico will pay. We will be great again!",2016-01-23 14:45:31+00:00,positive
310,Twitter for Android,"I am in Iowa watching all of these phony T.V. ads by the other candidates. All bull, politicians are all talk and no action-it won't happen!",2016-01-23 15:01:34+00:00,negative
311,Twitter for Android,"Ted Cruz poll numbers are down big. Because he was born in Canada and was, until recently, a Canadian citizen, many believe he cannot run!",2016-01-23 15:07:04+00:00,negative
312,Twitter for Android,"Heading to Sioux County, Iowa, where the crowd is amazing. Dr. Robert Jeffress will make the introduction. Make America Great Again!",2016-01-23 16:50:22+00:00,positive
313,Twitter for iPhone,Based on @MegynKelly's conflict of interest and bias she should not be allowed to be a moderator of the next debate.,2016-01-23 16:52:17+00:00,neutral
316,Twitter for iPhone,"Just left Sioux Center, Iowa. My speech was very well received. Truly great people! Packed house- overflow!",2016-01-23 20:14:05+00:00,positive
318,Twitter for iPhone,"Heading now to Pella, Iowa. Big crowd! Remember, Trump is a big buyer of Pella windows. See you soon!",2016-01-23 20:15:59+00:00,positive
319,Twitter for iPhone,.@williebosshog such an honor to get your endorsement. You are a fantastic guy! It will not be forgotten. Don and Eric say hello!,2016-01-23 20:28:22+00:00,positive
320,Twitter for iPhone,I will be on FOX with the great @JudgeJeanine tonight at 9pm EST! Enjoy! #Trump2016,2016-01-23 21:42:55+00:00,positive
321,Twitter for iPhone,"Just left a great event in Pella. Going to church tomorrow in Muscatine, Iowa.",2016-01-23 23:36:30+00:00,neutral
323,Twitter for iPhone,Word is that crying @GlennBeck left the GOP and doesn't have the right to vote in the Republican primary. Dumb as a rock.,2016-01-24 01:21:16+00:00,negative
330,Twitter for Android,I will be on @meetthepress this morning at various times across the U.S. @NBCNews  Enjoy!,2016-01-24 14:06:08+00:00,neutral
331,Twitter for Android,I will be on Face The Nation this morning at various times across the U.S. @CBSNews  Enjoy!,2016-01-24 14:13:08+00:00,neutral
346,Twitter for Android,"It's time for Ted Cruz to either settle his problem with the FACT that he was born in Canada and was a citizen of Canada, or get out of race",2016-01-25 13:26:21+00:00,negative
349,Twitter Web Client,I will be on The Situation Room with @wolfblitzer from 5-7pm est on CNN,2016-01-25 16:51:55+00:00,neutral
355,Twitter Web Client,I will be on Morning's with Maria on the Fox Business Network tomorrow during the 7am and 8am ET hours.,2016-01-25 21:02:18+00:00,neutral
356,Twitter for iPhone,I will be on @CNNSitRoom with @wolfblitzer from 5-7pm est. on @CNN.,2016-01-25 21:47:42+00:00,neutral
357,Twitter for iPhone,Ted Cruz is a nervous wreck. He is making reckless charges not caring for the truth! His poll #'s are way down!,2016-01-25 22:00:38+00:00,negative
358,Twitter for iPhone,Cruz going down fast in recent polls- dropping like a rock. Lies never work!,2016-01-25 22:02:50+00:00,negative
359,Twitter for iPhone,Cruz lies are almost as bad as Jeb's. These politicians will do anything to stay at the trough!,2016-01-25 22:04:40+00:00,negative
360,Twitter for iPhone,Leaving now for New Hampshire. Big crowd- looking forward to it! #FITN,2016-01-25 22:13:44+00:00,positive
363,Twitter for iPhone,Just landed in New Hampshire. Will be at the venue shortly. #FITN,2016-01-25 23:50:56+00:00,neutral
373,Twitter for Android,"I will be doing @GMA @GStephanopoulos this morning at around 7:00. Likewise, I will be doing @Morning_Joe at around 7:00. Figure it out!",2016-01-26 10:43:04+00:00,neutral
375,Twitter for Android,I will be interviewed by @MariaBartiromo on @MorningsMaria  @FoxBusiness at 7:30 A.M. Enjoy.,2016-01-26 11:17:29+00:00,neutral
383,Twitter for Android,Why doesn't phony  @bobvanderplaats tell his followers all the times he asked for him and his family to stay at my hotels-didn't like paying,2016-01-26 15:55:01+00:00,negative
386,Twitter for iPhone,"Great honor- Rev. Jerry Falwell Jr. of Liberty University, one of the most respected religious leaders in our nation, has just endorsed me!",2016-01-26 16:55:37+00:00,positive
387,Twitter Web Client,".@bobvanderplaats begged me to do an event while asking organizers for $100,000 for himself—a bad guy!",2016-01-26 18:03:07+00:00,negative
389,Twitter Web Client,"Do you think @SenTedCruz knows about @bobvanderplaats dealings? Actually, I doubt it!",2016-01-26 18:40:09+00:00,negative
397,Twitter for iPhone,"I refuse to call Megyn Kelly a bimbo, because that would not be politically correct. Instead I will only call her a lightweight reporter!",2016-01-27 11:44:04+00:00,negative
